usuario,NN50_baseline,pNN50_baseline,NN20_baseline,pNN20_baseline,rmssd_baseline,sdnn_baseline,LF/HF_baseline-FFT,LF/HF_baseline-AR,LF/HF_baseline-LOMB,NN50_olfativo,pNN50_olfativo,NN20_olfativo,pNN20_olfativo,rmssd_olfativo,sdnn_olfativo,LF/HF_olfativo-FFT,LF/HF_olfativo-AR,LF/HF_olfativo-LOMB,NN50_auditivo,pNN50_auditivo,NN20_auditivo,pNN20_auditivo,rmssd_auditivo,sdnn_auditivo,LF/HF_auditivo-FFT,LF/HF_auditivo-AR,LF/HF_auditivo-LOMB,NN50_visual,pNN50_visual,NN20_visual,pNN20_visual,rmssd_visual,sdnn_visual,LF/HF_visual-FFT,LF/HF_visual-AR,LF/HF_visual-LOMB,NN50_interactivo,pNN50_interactivo,NN20_interactivo,pNN20_interactivo,rmssd_interactivo,sdnn_interactivo,LF/HF_interactivo-FFT,LF/HF_interactivo-AR,LF/HF_interactivo-LOMB,NN50_final,pNN50_final,NN20_final,pNN20_final,rmssd_final,sdnn_final,LF/HF_final-FFT,LF/HF_final-AR,LF/HF_final-LOMB
0, 16.0, 5.536332179930796, 173.0, 59.86159169550172, 29.256472385962535, 46.50634565449436, 0.48007072088232045, 0.5424062175963222, 0.5888564272544045, 12.0, 4.301075268817205, 116.0, 41.57706093189964, 24.660708376573627, 29.882180102194855, 0.5067520897427038, 0.5477101097587188, 0.4844227796541876, 43.0, 15.808823529411764, 174.0, 63.970588235294116, 36.13180528206661, 37.41422244487948, 0.13989641450619802, 0.5388346002854396, 0.3638522295429383, 64.0, 23.970037453183522, 195.0, 73.03370786516854, 41.34458285961059, 33.219772529866994, 0.25091400209074244, 0.5222775225621299, 0.4569266581832046, 43.0, 15.19434628975265, 167.0, 59.01060070671378, 34.73676884139681, 44.841276699636374, 0.9791673369221132, 0.527063739641407, 0.4329290551900987, 38.0, 13.427561837455832, 192.0, 67.84452296819788, 34.170586405050436, 32.11193496803998, 0.41428909901719096, 0.5343135198398274, 0.5154437370572733
1, 176.0, 74.8936170212766, 213.0, 90.63829787234042, 155.49979818007017, 172.4857795818301, 5.286843294419749, 0.5402948427421695, 0.4684589881441737, 162.0, 66.12244897959184, 223.0, 91.02040816326532, 130.49067524743143, 149.69682280836224, 6.125565813715988, 0.5426316405218561, 0.3872894712933972, 158.0, 64.48979591836735, 211.0, 86.12244897959184, 110.6521669052004, 122.19715089454006, 4.899083411584245, 0.5567617004788671, 0.4185731367121961, 122.0, 48.8, 195.0, 78.0, 84.96319203043163, 115.09654606605126, 0.3911951120486111, 0.5345329893192986, 0.3351458640462569, 106.0, 39.11439114391143, 187.0, 69.00369003690037, 77.79448277233737, 107.41174210526579, 0.5278732909388004, 0.5275899927346843, 0.3648929695944947, 156.0, 66.38297872340425, 202.0, 85.95744680851064, 136.98254276102702, 152.32248487260227, 0.4679924842853763, 0.4953076165133222, 0.38456726866350227
2, 18.0, 5.960264900662252, 123.0, 40.728476821192054, 26.911062744032332, 46.18812966281914, 1.174299892586739, 0.5486995720639362, 0.552074833777175, 6.0, 1.89873417721519, 98.0, 31.0126582278481, 20.835932327337, 30.141945136414744, 1.6170144292066002, 0.55239178365588, 0.5511302754542488, 6.0, 1.9230769230769231, 96.0, 30.76923076923077, 20.601453147651302, 33.1938191000048, 3.169468684263366, 0.5568559085206358, 0.3578714578971191, 7.0, 2.2435897435897436, 86.0, 27.564102564102566, 21.072828537339323, 32.21011647260072, 1.3600105398146007, 0.5549181627913123, 0.3435117703595743, 30.0, 9.615384615384617, 135.0, 43.269230769230774, 28.611511490020757, 66.28076907972097, 0.9090138863472215, 0.5418322716402393, 0.44479612914450645, 41.0, 14.04109589041096, 171.0, 58.56164383561644, 34.72859545771688, 38.60229613403059, 0.24050993579324903, 0.5362146016459634, 0.4589146230935411
3, 71.0, 23.905723905723907, 176.0, 59.25925925925925, 53.80892745075554, 103.01402491669268, 5.04865174064005, 0.5627419330357281, 0.4498565374968607, 55.0, 18.70748299319728, 157.0, 53.40136054421769, 48.088743078649436, 85.845008200552, 6.844584237928892, 0.559242469045265, 0.41276549666107065, 53.0, 17.60797342192691, 166.0, 55.14950166112956, 44.37412672857448, 85.12582960967609, 6.940067863724888, 0.5570941261117698, 0.5125775620835524, 55.0, 19.09722222222222, 147.0, 51.041666666666664, 52.26979954471267, 89.85038278719239, 7.6615451249335225, 0.5318152420165635, 0.4518925674387661, 52.0, 17.747440273037544, 162.0, 55.2901023890785, 74.44325781971318, 93.21021176290009, 1.8346835103888317, 0.5329407177215161, 0.4151945598942335, 26.0, 7.951070336391437, 118.0, 36.08562691131498, 33.086902533571426, 67.01388853945939, 2.6556302111532255, 0.5467530141557163, 0.3674596218342432
4, 115.0, 33.82352941176471, 240.0, 70.58823529411765, 53.740498476201246, 69.25424691589339, 1.1144837668437617, 0.514282295603673, 0.5070647600771219, 143.0, 44.0, 262.0, 80.61538461538461, 58.085613206184384, 65.07978274207395, 0.24229938372800341, 0.5005118257613139, 0.40877418056306847, 144.0, 45.85987261146497, 249.0, 79.29936305732484, 61.41360250993592, 71.91292941218146, 0.3658010020841336, 0.5089438215902742, 0.3603761801511649, 132.0, 39.87915407854985, 227.0, 68.58006042296071, 63.509354165077575, 88.53874153289881, 0.4380105362112823, 0.502461562301245, 0.38418594466703176, 26.0, 6.582278481012659, 150.0, 37.9746835443038, 27.064339655950562, 47.98538780485423, 2.2335440838884084, 0.542588243392582, 0.4099372250870957, 134.0, 41.104294478527606, 235.0, 72.08588957055214, 62.7345415173053, 82.47924273232799, 0.6863702405919664, 0.5045894341041811, 0.4119319348870012
5, 11.0, 3.313253012048193, 76.0, 22.89156626506024, 21.00207964458735, 64.08522441466077, 2.5651234306544324, 0.5518012055501017, 0.5725241619626861, 51.0, 17.114093959731544, 180.0, 60.40268456375839, 43.93925031359554, 69.30824888864086, 3.5540125616736122, 0.5660539424459414, 0.44215822456046594, 59.0, 19.5364238410596, 180.0, 59.60264900662252, 44.76768583883065, 86.5422049146085, 5.374060769969769, 0.5716296604584288, 0.35394254974510336, 51.0, 17.17171717171717, 161.0, 54.20875420875421, 38.91132109156548, 58.86549382242914, 1.998050483909146, 0.5563409649734907, 0.41985087776457863, 14.0, 3.8356164383561646, 62.0, 16.986301369863014, 151.3973453016385, 106.37981983355418, 0.6808782335713452, 0.4598116447736192, 0.3957790658333079, 28.0, 8.80503144654088, 131.0, 41.19496855345912, 31.619544548969657, 64.03034789680014, 1.8775052365110971, 0.5513089900889799, 0.43403908609448655
6, 11.0, 2.8947368421052633, 98.0, 25.789473684210527, 25.998481737047243, 56.34335858990143, 13.252638051900979, 0.5678791972974779, 0.37798973197716007, 49.0, 15.806451612903224, 170.0, 54.83870967741935, 40.685616068073855, 93.18986088166498, 12.039808815220514, 0.5663854905589947, 0.43511500893077076, 55.0, 18.151815181518153, 187.0, 61.71617161716172, 42.081996024891026, 95.08120095505973, 27.293240908664863, 0.5741434759957715, 0.48294083194915094, 46.0, 14.838709677419354, 189.0, 60.967741935483865, 41.42073658633848, 90.05957046154896, 17.816368017954236, 0.5785861625034358, 0.46644082958489347, 30.0, 8.720930232558139, 132.0, 38.372093023255815, 29.036815044129355, 73.58958701579576, 5.126048216563997, 0.5571959321436984, 0.39313281988109994, 3.0, 0.819672131147541, 59.0, 16.120218579234972, 15.279097475706186, 35.72054612911348, 6.055946825716174, 0.5576547579020217, 0.43761472785756683
7, 55.0, 15.85014409221902, 187.0, 53.89048991354467, 35.7636735504244, 53.761934390915584, 4.7533188737004775, 0.5491185939096718, 0.3740745086813831, 42.0, 13.125, 170.0, 53.125, 44.73938421569971, 52.03839868495863, 0.5212805466057641, 0.528821434942011, 0.47313580811483674, 86.0, 27.21518987341772, 208.0, 65.82278481012658, 55.53787623057378, 89.61196257977879, 1.0442618194460225, 0.5225255501347373, 0.4317034366203976, 57.0, 17.53846153846154, 180.0, 55.38461538461539, 46.58514124284035, 70.10834250310249, 3.1481501033241637, 0.5352281975857663, 0.46106189897056565, 28.0, 7.608695652173914, 126.0, 34.23913043478261, 26.782588844571976, 49.07215064707534, 6.209272625087061, 0.5533592432704477, 0.49521884477485334, 74.0, 23.125, 181.0, 56.56250000000001, 45.79604922916386, 79.76875359339795, 1.4314256339444094, 0.5439909284606332, 0.4225713500297441
8, 4.0, 1.2461059190031152, 125.0, 38.940809968847354, 20.519650941630445, 31.685644694716558, 8.57915953341063, 0.5572236406878642, 0.5459917353561629, 117.0, 43.333333333333336, 215.0, 79.62962962962963, 55.40443891830195, 70.74784398063034, 1.022562485063904, 0.5163924785871276, 0.4939293479010965, 122.0, 45.353159851301115, 214.0, 79.5539033457249, 58.22772880240984, 61.86917573142829, 0.5810299199961018, 0.5157901787990089, 0.37537885394151577, 105.0, 39.325842696629216, 194.0, 72.65917602996255, 53.09647780273358, 68.53097674281601, 0.7536830306845445, 0.5221141758582015, 0.3636525422026732, 108.0, 37.5, 204.0, 70.83333333333334, 58.445635945818154, 80.85835963198863, 1.3659847285570186, 0.5289010411849986, 0.36860961796804437, 107.0, 40.839694656488554, 198.0, 75.57251908396947, 59.44299341090466, 73.28470834789616, 1.5612694586181197, 0.5250113535783297, 0.42386698830896846
9, 41.0, 13.183279742765272, 180.0, 57.87781350482315, 36.167571767930795, 46.65105878499863, 1.109422296209964, 0.5296320908099525, 0.41152232494270147, 101.0, 36.07142857142857, 196.0, 70.0, 55.42301610599801, 58.601180212673626, 0.398059509590766, 0.5257366338110422, 0.3778971183200949, 99.0, 35.35714285714286, 188.0, 67.14285714285714, 66.44173064745206, 87.7916412160765, 0.4810922352418073, 0.5305197942520847, 0.44742800189802934, 6.0, 1.9543973941368076, 130.0, 42.34527687296417, 23.514843880752355, 35.94406653443803, 0.42513544037057277, 0.540618183562266, 0.3947884812850356, 22.0, 6.940063091482649, 133.0, 41.95583596214511, 51.59830286011512, 58.278604481687076, 1.3527041522862135, 0.5313393958984096, 0.43791681998109805, 17.0, 5.762711864406779, 125.0, 42.3728813559322, 48.314646689650566, 51.22418145679305, 1.7374898651303017, 0.518470763275532, 0.38532439825236164
10, 141.0, 51.272727272727266, 214.0, 77.81818181818181, 74.74594546620146, 121.41160574895707, 0.42873758065737083, 0.5059366151852804, 0.2938802946162424, 88.0, 31.09540636042403, 197.0, 69.6113074204947, 52.433771115159075, 92.54732816526922, 0.9386712407102606, 0.5308745163907717, 0.3039513467429007, 153.0, 61.693548387096776, 210.0, 84.67741935483872, 75.34335383922019, 70.66298752115713, 0.3786384739165293, 0.5119442559658641, 0.4159348400703319, 131.0, 51.171875, 207.0, 80.859375, 80.79340454981458, 103.23518579952407, 0.8752618418411263, 0.504728731360658, 0.3585960449441234, 101.0, 36.07142857142857, 211.0, 75.35714285714286, 57.30295429930791, 79.86208132495443, 1.32835480496425, 0.5187022888387188, 0.49177404482340825, 97.0, 33.33333333333333, 220.0, 75.60137457044674, 47.36318694580454, 54.41378405353044, 1.4427983373355286, 0.5269124101816393, 0.36507335183785716
11, 186.0, 72.65625, 213.0, 83.203125, 253.6516588995625, 219.17737219597618, 0.18076336494506787, 0.453757914895414, 0.4125589464244711, 150.0, 61.47540983606557, 203.0, 83.19672131147541, 193.86638757017215, 217.78777833809366, 0.9213368120472148, 0.5079235637037298, 0.43885947704297307, 149.0, 60.32388663967612, 210.0, 85.02024291497976, 165.25762001087853, 181.22849086300758, 2.9791767208540736, 0.5371190799181016, 0.40130554203659996, 187.0, 77.91666666666667, 227.0, 94.58333333333333, 204.3731269027315, 168.67430272897676, 0.15633592652384706, 0.4648784736146649, 0.5108960289282575, 97.0, 30.69620253164557, 198.0, 62.65822784810127, 63.210368080809275, 109.15747656451809, 2.37719234749801, 0.5143332309158438, 0.5145439134433643, 198.0, 81.48148148148148, 222.0, 91.35802469135803, 238.27120834099918, 172.20214114080886, 0.1574788090214827, 0.4602438204380626, 0.36141092964047655
